Date,Portfolio_Value,Benchmark_Value
2019-10-29,144387.3877845975,127210.89578527534
2019-10-30,145658.50554032138,128226.99055713549
2019-10-31,145772.51815798617,128234.55806051564
2019-11-01,146441.13850452637,128667.17278339167
2019-11-04,146835.1333672038,128823.84060917632
2019-11-05,146300.62435687208,128660.17799770876
2019-11-06,146742.2155515298,128986.54439725353
2019-11-07,146536.58595139388,129116.90691409144
2019-11-08,146975.30298040278,129585.5062744091
2019-11-11,146756.29967501224,129524.8909769778
2019-11-12,147018.41955507046,129615.7779923797
2019-11-13,147357.63613285287,129895.25432572383
2019-11-14,147455.5481095271,130104.10443858305
2019-11-15,147885.3936494115,130493.03438023258
2019-11-18,147865.88970068647,130487.83437003032
2019-11-19,148526.20217249446,130867.73776086945
2019-11-20,148413.73161231208,130850.54837395897
2019-11-21,147868.91987104458,130538.85358122445
2019-11-22,148077.235762675,130600.24804379049
2019-11-25,148793.05538699406,131199.0690605743
2019-11-26,148832.2688692752,131326.93765255038
2019-11-27,149124.54608690357,131534.57269280893
2019-11-28,149480.7224470958,131589.04577303556
2019-11-29,149052.8260965703,131287.25704436854
2019-12-02,148232.78104521285,130572.3568058316
2019-12-03,148006.9179578739,130336.91076370911
2019-12-04,147574.1265584661,130118.9002758891
2019-12-05,147435.95034712038,129745.45727272349
2019-12-06,148888.3809458489,130913.49942405272
2019-12-09,148217.19054083433,130420.43490344853
2019-12-10,148281.19959682718,130404.62763536858
2019-12-11,148368.01498742856,130497.76613019887
2019-12-12,148988.74164719772,130742.9757918546
2019-12-13,149499.3651987162,131315.14366193104
2019-12-16,150031.17067652667,131634.0836959504
2019-12-17,149892.83848079544,131563.84061662515
2019-12-18,149292.40199033357,131073.83744311408
2019-12-19,149778.73678180348,131429.55133163603
2019-12-20,150481.7286985573,131954.3154074244
2019-12-23,150680.5418978208,131963.61155680235
2019-12-24,151066.08600164685,132059.0449987319
2019-12-27,151162.457343068,132125.55085068982
2019-12-30,150266.6389562863,131360.87540470387
2019-12-31,149948.8635217935,131099.4722503606
2020-01-02,151069.3894181247,131824.94409838723
2020-01-03,150733.78917142394,131619.77333258349
2020-01-06,151188.7824835694,131594.57374382
2020-01-07,151505.11857100166,131677.62570384936
2020-01-08,151779.36188910552,131844.45099253772
2020-01-09,152702.43896331388,132449.5962624444
2020-01-10,152475.50620220933,132298.5381955722
2020-01-13,152917.12178315848,132712.11637627054
2020-01-14,152850.20250620527,132851.17652338784
2020-01-15,153082.63336517068,133057.49751942817
2020-01-16,153709.28007893424,133442.83776806117
2020-01-17,154406.1926067144,133798.33126222683
2020-01-20,154524.20811431145,133903.4707164277
2020-01-21,154215.44708629083,133865.14743209668
2020-01-22,155000.248742954,134408.85110331056
2020-01-23,155021.48244222684,134547.66779364122
2020-01-24,154655.7010545466,134409.6940592667
2020-01-27,153515.60818264383,133624.07452859374
2020-01-28,154005.16442018098,133882.44763494603
2020-01-29,154304.4581839908,134240.1439164672
2020-01-30,154361.02355493075,134202.82023184767
2020-01-31,152867.887653028,133233.55089373927
2020-02-03,153802.93821415651,133925.30895637002
2020-02-04,155027.07986955138,134813.5136153379
2020-02-05,156349.85203921353,135393.59306411239
2020-02-06,157010.7248917857,135771.25889772185
2020-02-07,156438.52479121578,135482.45962328181
2020-02-10,157350.6367740948,136050.1178971603
2020-02-11,157380.38719180223,136050.42607042385
2020-02-12,157840.51585902958,136118.16895411554
2020-02-13,157832.49642970526,135941.01299117832
2020-02-14,158070.48356045046,136108.7951863575
2020-02-18,158021.74863129013,135940.91340249003
2020-02-19,158516.27395877952,136207.44117569688
2020-02-20,158560.92279597392,136189.14579759797
2020-02-21,157462.31205741392,135584.9919707625
2020-02-24,154767.31585628138,133785.44369971287
2020-02-25,151109.68781684755,131885.72603926648
2020-02-26,150738.55378082223,131500.78987433203
2020-02-27,149182.4628623379,130608.00891766138
2020-02-28,145139.85396973425,128492.74508246759
2020-03-02,148087.93250292458,130139.55973633291
2020-03-03,146613.61630023955,129516.62470657076
2020-03-04,150721.534181994,132114.51638609066
2020-03-05,148178.98685564785,130739.43828822693
2020-03-06,148299.95339537275,129891.3723953056
